X,Y,OBJECTID,METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE
771671.6126,2953700.433,1,450001,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,ARLI,NEWBURY ST A-B,1,,-71.072687,42.352311,,,,1,1,MULTI-SPACE STALL,NO,DISTRICT 0,,887,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771908.9894,2953745.355,2,450002,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,ARLI,NEWBURY ST A-B,1,,-71.071808,42.352431,,,,2,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771592.2858,2953671.611,3,450003,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,ARLI,NEWBURY ST A-B,1,,-71.072981,42.352233,,,,3,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771816.4438,2953711.363,4,450004,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,ARLI,NEWBURY ST A-B,1,,-71.072151,42.352339,,,,4,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771502.9704,2953640.187,5,450005,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,ARLI,NEWBURY ST A-B,1,,-71.073312,42.352148,,,,5,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771660.4972,2953653.002,6,450006,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,ARLI,NEWBURY ST A-B,1,,-71.072729,42.352181,,,,6,1,MULTI-SPACE STALL,NO,DISTRICT 0,,888,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771322.0944,2953593.73,7,450007,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,BERK,NEWBURY ST B-C,1,,-71.073982,42.352023,,,,7,1,MULTI-SPACE STALL,NO,DISTRICT 0,,889,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771350.8551,2953518.072,8,450008,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,BERK,NEWBURY ST B-C,1,,-71.073877,42.351815,,,,8,1,MULTI-SPACE STALL,NO,DISTRICT 0,,890,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771209.32,2953550.529,9,450009,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,BERK,NEWBURY ST B-C,1,,-71.0744,42.351906,,,,9,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771229.9566,2953477.746,10,450010,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,BERK,NEWBURY ST B-C,1,,-71.074325,42.351706,,,,10,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
771054.969,2953496.917,11,450011,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,BERK,NEWBURY ST B-C,1,,-71.074972,42.351761,,,,11,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
770982.8067,2953386.136,12,450012,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,BERK,NEWBURY ST B-C,1,,-71.075241,42.351458,,,,12,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE
